Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n210,sketch/html/css/custom-theme/jquery-ui-1.8.21.custom.css,,1,5,6,79,0.5,0.000354,1,5,6,2,0.875,0.928571,0,16,0.00108
n211,sketch/html/css/style.css,,2,5,7,79,0.380952,0.000407,3,7,10,1,1,1,2.5,16,0.001277
n212,sketch/html/index.html,,3,3,6,79,0.5,0.000354,4,3,7,2,0.875,0.928571,0,16,0.00108
n213,sketch/html/js/jquery-1.7.2.min.js,,4,2,6,79,0.5,0.000354,4,2,6,2,0.875,0.928571,0,16,0.00108
n214,sketch/html/js/jquery-ui-1.8.21.custom.min.js,,5,1,6,79,0.5,0.000354,5,1,6,2,0.875,0.928571,0,16,0.00108
n215,sketch/html/js/search.js,,6,0,6,79,0.5,0.000354,6,0,6,2,0.875,0.928571,0,16,0.00108
n216,sketch/html/type.html,,2,0,2,79,0.5,0.00012,3,0,3,2,0.583333,0.642857,0,16,0.000468
n217,htmlify.p6,,80,43,123,95,0.112688,0.02443,106,102,208,5,0.472267,0.530388,97589.281403,0,0.005753
n218,template/index-content.html,,1,0,1,95,0,0.000334,1,0,1,6,0.320893,0.337134,0,0,0.000198
n219,html/index.html,,0,1,1,95,0,0.000334,0,1,1,6,0.320893,0.337134,0,0,0.000198
n220,lib/Type/Any.pod,,5,148,153,80,0.359391,0.118111,5,242,247,7,0.305256,0.412198,526.106968,0,0.001588
n221,lib/Type/Attribute.pod,,3,125,128,80,0.405819,0.104188,4,158,162,7,0.299624,0.394315,47.003222,0,0.001329
n222,lib/Type/Backtrace.pod,,4,125,129,80,0.40086,0.104599,6,158,164,7,0.299727,0.394885,52.576322,0,0.001339
n223,lib/Type/Backtrace/Frame.pod,,6,176,182,80,0.277973,0.126269,11,229,240,7,0.305468,0.425482,379.237166,0,0.001904
n224,lib/Type/Bag.pod,,5,106,111,80,0.466749,0.096645,5,111,116,6,0.303881,0.38759,352.519451,0,0.00121
n225,lib/Type/Baggy.pod,,8,159,167,80,0.300952,0.119971,11,195,206,6,0.310113,0.419897,1034.998029,0,0.001805
n226,lib/Type/Buf.pod,,10,118,128,80,0.405819,0.104188,14,147,161,7,0.299624,0.394315,47.003222,0,0.001329
n227,lib/Type/Capture.pod,,18,171,189,80,0.262158,0.127984,27,235,262,7,0.308152,0.431943,1816.80262,0,0.002164
n228,lib/Type/Code.pod,,12,116,128,80,0.405819,0.104188,18,143,161,7,0.299624,0.394315,47.003222,0,0.001329
n229,lib/Type/Complex.pod,,13,115,128,80,0.405819,0.104188,20,141,161,7,0.299624,0.394315,47.003222,0,0.001329
n230,lib/Type/Date.pod,,18,116,134,80,0.381326,0.106795,27,151,178,7,0.300342,0.397926,136.141495,0,0.001407
n231,lib/Type/Enum.pod,,18,110,128,80,0.405819,0.104188,27,134,161,7,0.299624,0.394315,47.003222,0,0.001329
n232,lib/Type/EnumMap.pod,,20,112,132,80,0.391279,0.106264,32,144,176,7,0.300034,0.396596,59.8931,0,0.001369
n233,lib/Type/Exception.pod,,20,108,128,80,0.405819,0.104188,31,131,162,7,0.299624,0.394315,47.003222,0,0.001329
n234,lib/Type/Failure.pod,,21,107,128,80,0.405819,0.104188,34,128,162,7,0.299624,0.394315,47.003222,0,0.001329
n235,lib/Type/Grammar.pod,,23,142,165,80,0.309719,0.120273,26,157,183,7,0.305468,0.41807,403.073436,0,0.001741
